cal_month,month_name,avg_lodged,avg_grant,avg_refused
1,January,7.4,5.2,1.2
2,February,7.0,5.8,1.4
3,March,7.9,5.4,1.4
4,April,6.3,4.8,1.1
5,May,7.1,5.1,1.3
6,June,8.8,6.2,1.3
7,July,6.0,5.7,1.4
8,August,6.5,4.4,1.1
9,September,6.3,4.3,1.4
10,October,5.2,4.9,1.2
11,November,5.1,5.1,1.2
12,December,6.1,5.3,0.9
